,world_rank,institution,country,long,lat,web_addr,logo_source
1,1,Harvard University,USA,-71.118177,42.374429,www.harvard.edu/,upload.wikimedia.org/wikipedia/en/thumb/3/3a/Harvard_Wreath_Logo_1.svg/1051px-Harvard_Wreath_Logo_1.svg.png
2,2,Stanford University,USA,-122.182212,37.431746,www.stanford.edu/,lh5.googleusercontent.com/-9ZtfI7Iadbo/AAAAAAAAAAI/AAAAAAAAASM/pa_22SDQqFI/s0-c-k-no-ns/photo.jpg
3,3,Massachusetts Institute of Technology,USA,-71.092115,42.360095,web.mit.edu/student/,lh6.googleusercontent.com/-HXcwA8OCaSU/AAAAAAAAAAI/AAAAAAAAQq0/FJOLa4BlZ60/s0-c-k-no-ns/photo.jpg
4,4,University of Cambridge,United Kingdom,0.115163,52.204328,www.cam.ac.uk/,lh6.googleusercontent.com/-rFQq0uABBsk/AAAAAAAAAAI/AAAAAAAAAII/_Zw9MFOtXEY/s0-c-k-no-ns/photo.jpg
5,5,University of Oxford,United Kingdom,-1.254854,51.756641,www.ox.ac.uk/,lh6.googleusercontent.com/-Ygm5DjbVLPM/AAAAAAAAAAI/AAAAAAAAACs/N2wImWuAcFc/s0-c-k-no-ns/photo.jpg
6,6,Columbia University,USA,-73.961885,40.808286,www.columbia.edu/,lh3.googleusercontent.com/-4LORSEgp28U/AAAAAAAAAAI/AAAAAAAAErY/W4Ug6i3Vc64/s0-c-k-no-ns/photo.jpg
7,7,"University of California, Berkeley",USA,-122.2604,37.87152,berkeley.edu/,studycalifornia.us/wp-content/uploads/ucberkeley_01.jpg
8,8,University of Chicago,USA,-87.601196,41.78917,www.uchicago.edu/,lh6.googleusercontent.com/-lWeBqmalLYk/AAAAAAAAAAI/AAAAAAAAAkU/4Ms5cd4gBhU/s0-c-k-no-ns/photo.jpg
9,9,Princeton University,USA,-74.664365,40.348235,www.princeton.edu,i.vimeocdn.com/portrait/1637819_640x640
10,10,Cornell University,USA,-76.48269,42.44529,www.cornell.edu,files.graphiq.com/5307/media/images/Cornell_University_7508474.png
11,11,Yale University,USA,-72.92886,41.310189,www.yale.edu,lh5.googleusercontent.com/-8MnYb1DXXXI/AAAAAAAAAAI/AAAAAAAAADE/HnWmw65TZQQ/s0-c-k-no-ns/photo.jpg
12,12,California Institute of Technology,USA,-118.12574,34.139275,www.caltech.edu,upload.wikimedia.org/wikipedia/zh/thumb/b/bd/Caltech_Seal.png/200px-Caltech_Seal.png
13,13,University of Tokyo,Japan,139.762225,35.712677,www.u-tokyo.ac.jp/index_e.html,upload.wikimedia.org/wikipedia/commons/thumb/c/c2/UnivOfTokyo_logo.svg/150px-UnivOfTokyo_logo.svg.png
14,14,University of Pennsylvania,USA,-75.193618,39.951002,www.upenn.edu,lh5.googleusercontent.com/-40Vqb2L3L_E/AAAAAAAAAAI/AAAAAAAAMaM/uc5uSWj32lE/s0-c-k-no-ns/photo.jpg
15,15,"University of California, Los Angeles",USA,-118.443901,34.068892,www.ucla.edu/,lh5.googleusercontent.com/-d5xiAp-5daE/AAAAAAAAAAI/AAAAAAAAADE/isyaVAht8CU/s0-c-k-no-ns/photo.jpg
16,16,Johns Hopkins University,USA,-76.620799,39.32838,www.jhu.edu,lh4.googleusercontent.com/-vt0qVScbeaE/AAAAAAAAAAI/AAAAAAAAAZY/PJXCeqlyXc0/s0-c-k-no-ns/photo.jpg
17,17,Kyoto University,Japan,135.781047,35.02671,www.kyoto-u.ac.jp/,upload.wikimedia.org/wikipedia/zh/thumb/b/b0/Kyoto_University.svg/150px-Kyoto_University.svg.png
18,18,New York University,USA,-73.997264,40.729452,www.nyu.edu,yt3.ggpht.com/-RZYi5isxH_M/AAAAAAAAAAI/AAAAAAAAAAA/rmWpoe2qZzI/s900-c-k-no/photo.jpg
19,19,"University of Michigan, Ann Arbor",USA,-83.743132,42.276137,umich.edu/,lh4.googleusercontent.com/-Rccq-Fi8TzA/AAAAAAAAAAI/AAAAAAAAAHU/Pb-WivSkb8I/s0-c-k-no-ns/photo.jpg
20,20,Swiss Federal Institute of Technology in Zurich,Switzerland,8.547927,47.376291,www.ethz.ch/en.html,www.iau-hesd.net/sites/default/files/styles/univ_205/public/universites/swiss_federal_institute_of_technology_zurich.png?itok=xLOJ-je9
